Cliente [cód],Venda anual,Últim venda,Família
 APARICIO MARQUES DA SILVA FILHO [51736],102,2018-02-22 00:00:00,_ABR
 APARICIO MARQUES DA SILVA FILHO [51736],184.2,2018-02-22 00:00:00,_ASD
 ASSOCIACAO CULTURAL TEATRO SARCAUSTICO [36827],88.5,2013-09-18 00:00:00,SATW
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007],25.5,2015-08-11 00:00:00,
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007],69.66999999999999,2018-03-21 00:00:00,_ASD
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007],4.5,2014-12-03 00:00:00,ELET
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007],59,2018-05-02 00:00:00,IATD
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007],6,2015-08-11 00:00:00,PSeI
 D BELLE HAUS MOVEIS SOB MEDIDA LTDA [63901],1047.76,2025-05-26 00:00:00,IATD
 EDUARDO CASSOL [34358],20.16,2013-09-05 00:00:00,ELET
 EDUARDO CASSOL [34358],154,2013-09-05 00:00:00,IATD
 EPAVI SIS SISTEMAS INFORMATIZADOS DE SEGURANÇA [57252],1219,2023-05-08 00:00:00,IATD
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743],7.25,2020-02-19 00:00:00,_ASD
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743],21.5,2020-12-18 00:00:00,_PVC
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743],11.2,2021-07-09 00:00:00,ELET
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743],590.7599999999999,2021-07-09 00:00:00,IATD
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743],136.32,2021-07-09 00:00:00,PSeI
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743],144.2,2021-02-25 00:00:00,SIKA
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967],5,2015-05-13 00:00:00,_ASD
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967],39,2014-11-17 00:00:00,_PVC
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967],67.2,2013-02-14 00:00:00,ELET
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967],425.46999999999997,2015-06-17 00:00:00,IATD
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967],62,2013-05-31 00:00:00,TAPT
 JMS EMBALAGENS INDUSTRIAIS LTDA [66811],1590,2025-03-31 00:00:00,FTAQ
 METALURGICA PRR LTDA [43179],156,2015-02-13 00:00:00,IATD
 OBM SOLUCAO VISUAL LTDA [41303],396.72,2014-08-26 00:00:00,IATD
 OFICINA DO CANHOTO LTDA [63519],15,2024-02-29 00:00:00,ELET
 OFICINA DO CANHOTO LTDA [63519],106.2,2025-01-31 00:00:00,IATD
 PMR TAXI AEREO E MANUTENCAO AERONAUTICA S.A. [37148],1150,2014-08-25 00:00:00,IATD
 QI ESCOLAS E FACULDADES LTDA [36888],234.32999999999998,2013-06-14 00:00:00,IATD
 R B ETIQUETAS INDUSTRIAIS LTDA [30947],1091.8,2016-04-27 00:00:00,IATD
 ROSA & ISMAEL LTDA - ME [37161],56.900000000000006,2013-06-24 00:00:00,IATD
 SANTA LOURDES PINHEIRO - ME [36679],78,2014-10-07 00:00:00,IATD
 TAYLOR U P RECUERO E CIA LTDA - ME [37311],15,2013-07-08 00:00:00,PELI
 THIAGO D ANGELLOS [57965],336.57,2020-08-26 00:00:00,IATD
 TOMASINI TRANSPORTES LTDA [39223],252,2014-01-07 00:00:00,_ASD
 UNISERRA VIAGENS E TURISMO LTDA [41101],108.98,2014-07-10 00:00:00,PELI
05.635.273 DIEGO TEIXEIRA PREDIGER [65844],19.5,2024-08-19 00:00:00,AUTO
05.635.273 DIEGO TEIXEIRA PREDIGER [65844],101.6,2025-08-19 00:00:00,IATD
05.635.273 DIEGO TEIXEIRA PREDIGER [65844],26.6,2024-08-19 00:00:00,PSeI
07.055.462 MARCELO DE MOURA ABREU PJ [58894],125.48,2020-12-09 00:00:00,AUTO
07.055.462 MARCELO DE MOURA ABREU PJ [58894],8.55,2021-03-24 00:00:00,ELET
07.055.462 MARCELO DE MOURA ABREU PJ [58894],17.9,2025-05-08 00:00:00,FELT
07.055.462 MARCELO DE MOURA ABREU PJ [58894],155.78,2025-07-15 00:00:00,IATD
13.013.312 MAICO FETT LAZARETTI [63314],961.59,2025-06-04 00:00:00,PSeI
22.833.175 ALESSA AMERICO BRILHANTE [66656],90.72,2025-03-25 00:00:00,IATD
23.337.895 MARCELO SOARES CARDOSO [64515],76,2023-11-07 00:00:00,IATD
23.337.895 MARCELO SOARES CARDOSO [64515],1021.44,2024-01-29 00:00:00,SIKA
26.367.117 PATRICK DELLA FLORA FIN [67113],70.67,2025-06-03 00:00:00,_OUT
26.367.117 PATRICK DELLA FLORA FIN [67113],40.77,2025-06-23 00:00:00,IATD
26.785.814 SHAIENE ELIZABETH DUARTE VENSKE  [53696],8,2024-09-17 00:00:00,_ASD
26.785.814 SHAIENE ELIZABETH DUARTE VENSKE  [53696],2829.01,2025-05-07 00:00:00,IATD
26.785.814 SHAIENE ELIZABETH DUARTE VENSKE  [53696],50,2022-12-21 00:00:00,TAPT
2HR DESIGN DE MOVEIS E ESQUADRIAS LTDA [40907],18.9,2014-10-06 00:00:00,IATD
2HR DESIGN DE MOVEIS E ESQUADRIAS LTDA [40907],92,2014-10-06 00:00:00,SATW
2S AUTOMACAO E ARQUITETURA LTDA [31070],19,2016-08-11 00:00:00,ELET
2S AUTOMACAO E ARQUITETURA LTDA [31070],304,2016-08-11 00:00:00,IATD
3 M PREMIUM REPRESENTACAO LTDA [58806],195.08,2020-12-01 00:00:00,IATD
30.710.430 LEOMAR RICARDO SCHNEIDER [66959],889.18,2025-09-03 00:00:00,IATD
30.710.430 LEOMAR RICARDO SCHNEIDER [66959],118.56,2025-04-29 00:00:00,PAPE
30.710.430 LEOMAR RICARDO SCHNEIDER [66959],79.6,2025-04-29 00:00:00,PSeI
32.167.570 JOAO JORGE GARCIA DOS SANTOS [63499],36,2023-05-02 00:00:00,IATD
37.533.275 ANDRE BARBOSA GUIDO [67507],139.32,2025-08-28 00:00:00,_ASD
39.240.006 ISMAEL FLORES FRAGA [65279],30,2024-05-02 00:00:00,IATD
39.263.137 CLAUDIR DOS SANTOS VIEGAS [65736],80,2024-08-30 00:00:00,REFL
39.319.411 BRUNO DE LIMA RODRIGUES [63180],62.27,2023-03-02 00:00:00,IATD
3A TRANSPORTES LTDA [60671],99.9,2021-10-21 00:00:00,TEFL
3D SUL COM DE SUPR E EQUIP DE IMPRESSAO LTDA [65718],50.86,2024-07-24 00:00:00,IATD
3D SUL COM DE SUPR E EQUIP DE IMPRESSAO LTDA [65718],17.8,2024-07-24 00:00:00,PSeI
3D WORK PROJETOS E CONSTRUCOES LTDA [41041],1300.1,2015-06-26 00:00:00,IATD
3G12&CONPAT LTDA [61818],1547.3,2022-06-28 00:00:00,IATD
3I SOLUCOES EM SINALIZACAO LTDA [61919],310.65,2022-07-12 00:00:00,IATD
