Cliente [cód];Venda anual;Últim venda;Família
 APARICIO MARQUES DA SILVA FILHO [51736];102;22/02/2018 00:00;_ABR
 APARICIO MARQUES DA SILVA FILHO [51736];184.2;22/02/2018 00:00;_ASD
 ASSOCIACAO CULTURAL TEATRO SARCAUSTICO [36827];88.5;18/09/2013 00:00;SATW
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007];25.5;11/08/2015 00:00;
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007];6.966.999.999.999.990;21/03/2018 00:00;_ASD
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007];4.5;03/12/2014 00:00;ELET
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007];59;02/05/2018 00:00;IATD
 BGF SERRALHERIA E VIDRACARIA LTDA ME [35007];6;11/08/2015 00:00;PSeI
 D BELLE HAUS MOVEIS SOB MEDIDA LTDA [63901];1047.76;26/05/2025 00:00;IATD
 EDUARDO CASSOL [34358];20.16;05/09/2013 00:00;ELET
 EDUARDO CASSOL [34358];154;05/09/2013 00:00;IATD
 EPAVI SIS SISTEMAS INFORMATIZADOS DE SEGURANÇA [57252];1219;08/05/2023 00:00;IATD
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743];7.25;19/02/2020 00:00;_ASD
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743];21.5;18/12/2020 00:00;_PVC
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743];11.2;09/07/2021 00:00;ELET
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743];5.907.599.999.999.990;09/07/2021 00:00;IATD
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743];136.32;09/07/2021 00:00;PSeI
 FMK TECNOLOGIA LOC DE EQUIP. AGRIC. PROT. LT [55743];144.2;25/02/2021 00:00;SIKA
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967];5;13/05/2015 00:00;_ASD
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967];39;17/11/2014 00:00;_PVC
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967];67.2;14/02/2013 00:00;ELET
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967];42.546.999.999.999.900;17/06/2015 00:00;IATD
 INNOVATION ENVIDRACAMENTOS IND COM SERV LTDA [30967];62;31/05/2013 00:00;TAPT
 JMS EMBALAGENS INDUSTRIAIS LTDA [66811];1590;31/03/2025 00:00;FTAQ
 METALURGICA PRR LTDA [43179];156;13/02/2015 00:00;IATD
 OBM SOLUCAO VISUAL LTDA [41303];396.72;26/08/2014 00:00;IATD
 OFICINA DO CANHOTO LTDA [63519];15;29/02/2024 00:00;ELET
 OFICINA DO CANHOTO LTDA [63519];106.2;31/01/2025 00:00;IATD
 PMR TAXI AEREO E MANUTENCAO AERONAUTICA S.A. [37148];1150;25/08/2014 00:00;IATD
 QI ESCOLAS E FACULDADES LTDA [36888];23.432.999.999.999.900;14/06/2013 00:00;IATD
 R B ETIQUETAS INDUSTRIAIS LTDA [30947];1091.8;27/04/2016 00:00;IATD
 ROSA & ISMAEL LTDA - ME [37161];56.900.000.000.000.000;24/06/2013 00:00;IATD
 SANTA LOURDES PINHEIRO - ME [36679];78;07/10/2014 00:00;IATD
 TAYLOR U P RECUERO E CIA LTDA - ME [37311];15;08/07/2013 00:00;PELI
 THIAGO D ANGELLOS [57965];336.57;26/08/2020 00:00;IATD
 TOMASINI TRANSPORTES LTDA [39223];252;07/01/2014 00:00;_ASD
 UNISERRA VIAGENS E TURISMO LTDA [41101];108.98;10/07/2014 00:00;PELI
05.635.273 DIEGO TEIXEIRA PREDIGER [65844];19.5;19/08/2024 00:00;AUTO
05.635.273 DIEGO TEIXEIRA PREDIGER [65844];101.6;19/08/2025 00:00;IATD
05.635.273 DIEGO TEIXEIRA PREDIGER [65844];26.6;19/08/2024 00:00;PSeI
07.055.462 MARCELO DE MOURA ABREU PJ [58894];125.48;09/12/2020 00:00;AUTO
07.055.462 MARCELO DE MOURA ABREU PJ [58894];8.55;24/03/2021 00:00;ELET
07.055.462 MARCELO DE MOURA ABREU PJ [58894];17.9;08/05/2025 00:00;FELT
07.055.462 MARCELO DE MOURA ABREU PJ [58894];155.78;15/07/2025 00:00;IATD
13.013.312 MAICO FETT LAZARETTI [63314];961.59;04/06/2025 00:00;PSeI
22.833.175 ALESSA AMERICO BRILHANTE [66656];90.72;25/03/2025 00:00;IATD
23.337.895 MARCELO SOARES CARDOSO [64515];76;07/11/2023 00:00;IATD
23.337.895 MARCELO SOARES CARDOSO [64515];1021.44;29/01/2024 00:00;SIKA
26.367.117 PATRICK DELLA FLORA FIN [67113];70.67;03/06/2025 00:00;_OUT
26.367.117 PATRICK DELLA FLORA FIN [67113];40.77;23/06/2025 00:00;IATD
26.785.814 SHAIENE ELIZABETH DUARTE VENSKE  [53696];8;17/09/2024 00:00;_ASD
26.785.814 SHAIENE ELIZABETH DUARTE VENSKE  [53696];2829.01;07/05/2025 00:00;IATD
26.785.814 SHAIENE ELIZABETH DUARTE VENSKE  [53696];50;21/12/2022 00:00;TAPT
2HR DESIGN DE MOVEIS E ESQUADRIAS LTDA [40907];18.9;06/10/2014 00:00;IATD
2HR DESIGN DE MOVEIS E ESQUADRIAS LTDA [40907];92;06/10/2014 00:00;SATW
2S AUTOMACAO E ARQUITETURA LTDA [31070];19;11/08/2016 00:00;ELET
2S AUTOMACAO E ARQUITETURA LTDA [31070];304;11/08/2016 00:00;IATD
3 M PREMIUM REPRESENTACAO LTDA [58806];195.08;01/12/2020 00:00;IATD
30.710.430 LEOMAR RICARDO SCHNEIDER [66959];889.18;03/09/2025 00:00;IATD
30.710.430 LEOMAR RICARDO SCHNEIDER [66959];118.56;29/04/2025 00:00;PAPE
30.710.430 LEOMAR RICARDO SCHNEIDER [66959];79.6;29/04/2025 00:00;PSeI
32.167.570 JOAO JORGE GARCIA DOS SANTOS [63499];36;02/05/2023 00:00;IATD
37.533.275 ANDRE BARBOSA GUIDO [67507];139.32;28/08/2025 00:00;_ASD
39.240.006 ISMAEL FLORES FRAGA [65279];30;02/05/2024 00:00;IATD
39.263.137 CLAUDIR DOS SANTOS VIEGAS [65736];80;30/08/2024 00:00;REFL
39.319.411 BRUNO DE LIMA RODRIGUES [63180];62.27;02/03/2023 00:00;IATD
3A TRANSPORTES LTDA [60671];99.9;21/10/2021 00:00;TEFL
3D SUL COM DE SUPR E EQUIP DE IMPRESSAO LTDA [65718];50.86;24/07/2024 00:00;IATD
3D SUL COM DE SUPR E EQUIP DE IMPRESSAO LTDA [65718];17.8;24/07/2024 00:00;PSeI
3D WORK PROJETOS E CONSTRUCOES LTDA [41041];1300.1;26/06/2015 00:00;IATD
3G12&CONPAT LTDA [61818];1547.3;28/06/2022 00:00;IATD
3I SOLUCOES EM SINALIZACAO LTDA [61919];310.65;12/07/2022 00:00;IATD
3RTE MONTAGENS E INSTALACOES ELETRICAS LTDA [50827];4536;20/08/2024 00:00;ELET
3RTE MONTAGENS E INSTALACOES ELETRICAS LTDA [50827];14569.62;19/08/2025 00:00;FECH
3RTE MONTAGENS E INSTALACOES ELETRICAS LTDA [50827];4222.85;24/04/2025 00:00;IATD
3RW INDUSTRIA E COMERCIO DE MATERIAIS ELETR. LTDA [55542];43.2;10/09/2019 00:00;TEFL
3Z MOVIMENTACAO INTELIGENTE LTDA [37369];2366.8;17/04/2025 00:00;IATD
3Z MOVIMENTACAO INTELIGENTE LTDA [37369];1790.48;11/08/2025 00:00;SATW
40.738.131 ANDRE LUIZ BONES [67574];299.55;03/09/2025 00:00;IATD
402 GESTAO E LOCACAO DE AERONAVES S.A [61688];42;19/05/2022 00:00;IATD
42.214.040 RENATO DA SILVA DOVAL  [66679];3;25/02/2025 00:00;IATD
43.096.299 FELIPE SILVA DE FREITAS [66979];218.8;05/05/2025 00:00;IATD
43.280.902 DIEGO GUILHERME PACINI [66984];2593.15;15/07/2025 00:00;IATD
45.367.384 JULIANO DOMINGUES TONDIM [65011];26;09/12/2024 00:00;_ASD
45.367.384 JULIANO DOMINGUES TONDIM [65011];2677.82;10/06/2025 00:00;IATD
45.517.491 JORGE LUIZ KESSLER FILHO [65445];175.2;08/07/2024 00:00;IATD
47.203.332 LEANDRO NOZARI SILVEIRA [66556];273.1;14/02/2025 00:00;IATD
47.879.126 WELISON ESTEVAN DE ALMEIDA [65656];30.396.999.999.999.900;03/04/2025 00:00;IATD
48.820.345 KLEBER DARIO GARAHY DA SILVA [63646];400.76;15/08/2024 00:00;SATW
49.419.457 LUZARDO BREYER [66547];20.2;31/01/2025 00:00;_ASD
49.419.457 LUZARDO BREYER [66547];10.017.000.000.000.000;31/01/2025 00:00;ELET
49.419.457 LUZARDO BREYER [66547];141.7;31/01/2025 00:00;IATD
49.419.457 LUZARDO BREYER [66547];25.56;31/01/2025 00:00;PSeI
49.475.381 ANDERSON SEVERO PACHECO [63681];592.55;02/09/2025 00:00;_ASD
49.475.381 ANDERSON SEVERO PACHECO [63681];16;29/10/2024 00:00;IATD
49.475.381 ANDERSON SEVERO PACHECO [63681];5;27/10/2023 00:00;PSeI
49.808.290 VITOR CAETANO VELHO DE AGUIAR [65575];263.3;01/07/2024 00:00;IATD
49.847.473 ALESSANDRO DA SILVA [66012];105.35;07/05/2025 00:00;IATD
4K SERVICE INSTALACOES LTDA [47805];23.717.000.000.000.000;13/05/2025 00:00;_OUT
4K SERVICE INSTALACOES LTDA [47805];11.2;13/03/2020 00:00;AUTO
4K SERVICE INSTALACOES LTDA [47805];12.7;16/08/2016 00:00;ELET
4K SERVICE INSTALACOES LTDA [47805];190.24;14/11/2024 00:00;IATD
4K SERVICE INSTALACOES LTDA [47805];221.2;11/01/2024 00:00;PAPE
4K SERVICE INSTALACOES LTDA [47805];22;28/02/2018 00:00;PSeI
50.735.227 ALEXANDRE CARVALHO DA FE  [67148];90.45;01/09/2025 00:00;_ASD
51.831.408 ALINE GOULART PEREIRA [65734];14.75;06/02/2025 00:00;_ASD
51.831.408 ALINE GOULART PEREIRA [65734];49.469.000.000.000.000;13/02/2025 00:00;_OUT
51.831.408 ALINE GOULART PEREIRA [65734];89.46;06/02/2025 00:00;IATD
51.831.408 ALINE GOULART PEREIRA [65734];431.8;13/02/2025 00:00;PSeI
52.283.886 MATEUS SILVEIRA PEREIRA [66686];6.7;28/02/2025 00:00;_ASD
52.283.886 MATEUS SILVEIRA PEREIRA [66686];20.376.999.999.999.900;10/09/2025 00:00;IATD
53.083.659 ANDRE NUNES MATSCHINSKE [64710];1104;18/12/2023 00:00;SATW
54.041.453 CARLOS ALBERTO MACHADO JUNIOR [66416];300.64;05/05/2025 00:00;IATD
54.064.390 CILAS VIEIRA DE OLIVEIRA [65581];128.22;28/10/2024 00:00;_OUT
54.064.390 CILAS VIEIRA DE OLIVEIRA [65581];7;28/06/2024 00:00;IATD
54.609.758 JOCLACIO HENRIQUE DA SILVA [65711];123;23/07/2024 00:00;IATD
55.551.806 THIAGO CRISTIANO SOBRINHO JERONIMO [65757];66;02/08/2024 00:00;_ASD
55.551.806 THIAGO CRISTIANO SOBRINHO JERONIMO [65757];26.140.000.000.000.000;21/07/2025 00:00;IATD
55.613.959 EDIMAR BRAGA SEVERO [65778];538.75;26/08/2025 00:00;_ASD
55.850.229 RITA DE CASSIA SANTOS BICA  [66444];7.2;29/01/2025 00:00;_ASD
55.850.229 RITA DE CASSIA SANTOS BICA  [66444];17.067.000.000.000.000;29/01/2025 00:00;IATD
56.346.388 BRUNA DA SILVA SIQUEIRA [66533];173.96;29/08/2025 00:00;IATD
57.209.798 DENIS RODRIGUES PERES [67443];136.62;07/08/2025 00:00;_OUT
57.209.798 DENIS RODRIGUES PERES [67443];486.3;07/08/2025 00:00;IATD
57.513.678 MARCO AURELIO ANDRADE [67080];108.12;23/05/2025 00:00;ELET
59.482.085 GERUSA FERREIRA [66971];657.39;04/07/2025 00:00;IATD
5B GROUP LTDA [67045];25;30/05/2025 00:00;IATD
5B GROUP LTDA [67045];1912.85;01/09/2025 00:00;PAPE
5B GROUP LTDA [67045];23.88;14/07/2025 00:00;PSeI
6 PRO EVENTOS EMPRESARIAIS LTDA [56812];840;06/03/2020 00:00;SATW
A & C MATERIAIS ELETRICOS LTDA [31146];8912.32;18/12/2013 00:00;ELET
A & C MATERIAIS ELETRICOS LTDA [31146];3135.9;04/02/2014 00:00;IATD
A & C MATERIAIS ELETRICOS LTDA [31146];82;29/11/2013 00:00;PSeI
A BUHLER S/A CURTUME [27553];421.5;17/05/2018 00:00;_ASD
A BUHLER S/A CURTUME [27553];1343.4;18/01/2023 00:00;PR3M
A D BONELLI & CIA LTDA - ME [48610];12.7;12/12/2016 00:00;_ASD
A D BONELLI & CIA LTDA - ME [48610];100;18/01/2017 00:00;_OUT
A D BONELLI & CIA LTDA - ME [48610];69.12;22/12/2016 00:00;ELET
A D BONELLI & CIA LTDA - ME [48610];2597.51;12/09/2017 00:00;IATD
A D BONELLI & CIA LTDA - ME [48610];437;27/03/2017 00:00;PAPE
A D BONELLI & CIA LTDA - ME [48610];235.5;27/03/2017 00:00;PSeI
A D BONELLI COMUNICACAO VISUAL [61368];17.02;21/06/2024 00:00;_ASD
A D BONELLI COMUNICACAO VISUAL [61368];564.63;07/11/2023 00:00;_OUT
A D BONELLI COMUNICACAO VISUAL [61368];47.956.900.000.000.000;25/04/2025 00:00;IATD
A D BONELLI COMUNICACAO VISUAL [61368];9.995.699.999.999.990;21/06/2024 00:00;PAPE
A D BONELLI COMUNICACAO VISUAL [61368];189.16;19/07/2024 00:00;PSeI
A DE O SILVA VIDRACARIA ME [52295];27.5;30/01/2020 00:00;_ASD
A DE O SILVA VIDRACARIA ME [52295];210;20/10/2022 00:00;IATD
A DE O SILVA VIDRACARIA ME [52295];40.55;26/10/2021 00:00;PSeI
A G DISTRIBUIDORA DE MATERIAIS HIDRAULICOS EIRELI [41642];1018.12;03/05/2016 00:00;IATD
A GRINGS S/A ROLANTE [56112];3956.4;04/03/2020 00:00;PSeI
A J M DE ASSIS ME [39977];30;18/03/2014 00:00;_EPI
A J M DE ASSIS ME [39977];47.16;18/03/2014 00:00;_OUT
A J M DE ASSIS ME [39977];188;28/10/2014 00:00;IATD
A J M DE ASSIS ME [39977];193;21/11/2014 00:00;PSeI
A J MATRIZARIA LTDA ME [33735];30;19/04/2013 00:00;_EPI
A J MATRIZARIA LTDA ME [33735];5944.91;20/11/2014 00:00;IATD
A M COM DE ART DE PAPAELARIA E SERV DE TELE ENTREG [47290];114;21/10/2022 00:00;_ASD
A M COM DE ART DE PAPAELARIA E SERV DE TELE ENTREG [47290];193;18/09/2023 00:00;IATD
A M COM DE ART DE PAPAELARIA E SERV DE TELE ENTREG [47290];1515.8;02/08/2023 00:00;PSeI
A MAIS GRAFICA LTDA [45002];722.25;06/07/2022 00:00;IATD
A N BORDASCH - ME [41271];4.5;05/08/2014 00:00;_CFM
A N BORDASCH - ME [41271];176.52;05/08/2014 00:00;_OUT
A N BORDASCH - ME [41271];100.8;05/08/2014 00:00;ELET
A N BORDASCH - ME [41271];12.503.999.999.999.900;05/08/2014 00:00;IATD
A N BORDASCH - ME [41271];40;05/08/2014 00:00;PSeI
A N HOFFMANN LAUDOS [62760];763.2;19/06/2024 00:00;SATW
A P LUCENA & CIA LTDA [43239];221.84;08/10/2021 00:00;_ASD
A P LUCENA & CIA LTDA [43239];42.14;27/01/2020 00:00;ELET
A P LUCENA & CIA LTDA [43239];3114.5;16/10/2017 00:00;FTAQ
A P LUCENA & CIA LTDA [43239];162;27/06/2017 00:00;IATD
A PACHECO DEL SENT EQUIPAMENTOS CONTRA INCENDI [59255];66.26;20/04/2022 00:00;IATD
A PACHECO DEL SENT EQUIPAMENTOS CONTRA INCENDI [59255];278.88;10/01/2025 00:00;PAPE
A PACHECO DEL SENT EQUIPAMENTOS CONTRA INCENDI [59255];894.5;11/10/2023 00:00;PSeI
A PACHECO DEL SENT EQUIPAMENTOS CONTRA INCENDI [59255];15605.19;23/09/2024 00:00;SATW
A R FEIJO LTDA [50806];5156.8;09/07/2025 00:00;IATD
A R FEIJO LTDA [50806];110.03;01/08/2024 00:00;PSeI
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261];10625.72;11/02/2022 00:00;_OUT
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261];19.975.000.000.000.000;16/03/2021 00:00;FTAQ
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261];99.63;28/06/2024 00:00;IATD
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261];78.43;05/11/2020 00:00;PAPE
A T I BRASIL ARTS TECNICOS INDUSTRIAIS LTDA-FILIAL [30261];32;01/02/2013 00:00;PSeI
A T MIDIA LTDA - ME [38514];2810.52;27/11/2024 00:00;IATD
A. B. GLASENAPP  [54718];67.2;13/05/2019 00:00;PSeI
A. CASSOL & CIA LTDA.   ME [41675];2;03/09/2014 00:00;
A. CASSOL & CIA LTDA.   ME [41675];7;26/01/2015 00:00;_ASD
A. CASSOL & CIA LTDA.   ME [41675];18.5;26/01/2015 00:00;ELET
